學院,開課系所,流水號,課號,課程名稱,英文課名,授課教師,學分,時間/教室,選別,全/半,人數限制,分發條件
"文學院","中國文學系","11029","CL0201-S","國文（B）：中文寫作","Chinese (B): Chinese writing","王照璵","2","Thu34/A-114","必修","半","29","11029
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11030","CL0201-T","國文（B）：中文寫作","Chinese (B): Chinese writing","張克濟","2","Thu34/A-103","必修","半","29","11030
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"文學院","中國文學系","11031","CL0201-U","國文（B）：中文寫作","Chinese (B): Chinese writing","張力云","2","Thu34/E6-A205","必修","半","29","11031
CL0201	國文（B）：中文寫作
Chinese (B): Chinese writing

優先順序	相關條件限制說明
1	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限一年級。身份:限非僑生/交換生。
2	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限四年級。身份:限非僑生/交換生。
3	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限三年級。身份:限非僑生/交換生。
4	學制:限學士班。系所:限電機工程學系、資訊工程學系、通訊工程學系、資訊電機學院學士班。年級:限二年級。身份:限非僑生/交換生。"
"理學院","數學系","21013","MA1003-G","微積分","Calculus","廖勝強","3","Mon56/TR-A003 Wed34/TR-A003","必修","半","111","21013
MA1003	微積分
Calculus

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。
2	系所:限電機工程學系。年級:限非一年級。"
"理學院","物理學系","22004","PH1003-O","普通物理實驗","General Physics Laboratory","粘正勳","1","Tue567/S4-101","必修","全","60","22004
PH1003	普通物理實驗
General Physics Laboratory

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。"
"理學院","物理學系","22005","PH1003-P","普通物理實驗","General Physics Laboratory","鄭劭家","1","Tue567/S4-102","必修","全","60","22005
PH1003	普通物理實驗
General Physics Laboratory

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。"
"理學院","物理學系","22020","PH1031-E","普通物理A","General Physics A","林伯儒","3","Mon78/E1-120 Thu12/E1-120","必修","全","70","22020
PH1031	普通物理A
General Physics A

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限A。
2	系所:限電機工程學系。
3	系所:限理學院學士班。年級:限一年級。"
"理學院","物理學系","22021","PH1031-F","普通物理A","General Physics A","陳永富","3","Mon78/E1-121 Thu12/E1-121","必修","全","70","22021
PH1031	普通物理A
General Physics A

優先順序	相關條件限制說明
1	系所:限電機工程學系。年級:限一年級。班別:限B。
2	系所:限電機工程學系。
3	系所:限理學院學士班。年級:限一年級。"
"工學院","機械工程學系","33055","ME5071-*","影像工程概論","Fundamental Theory and Engineering Application of Machine Vision","林智揚","3","Thu234/E2-221","選修","半","40","33055
ME5071	影像工程概論
Fundamental Theory and Engineering Application of Machine Vision

優先順序	相關條件限制說明
1	系所:限機械工程學系碩士班、機械工程學系光機電工程碩士班、能源工程研究所碩士班、電機工程學系碩士班。
1	系所:限機械工程學系博士班、機械工程學系光機電工程博士班、能源工程研究所博士班、電機工程學系博士班。
2	學制:限學士班。學院:限工學院。系所:限機械工程學系。年級:限三年級、四年級。
2	學制:限學士班。學院:限工學院。系所:限工學院。年級:限三年級、四年級。"
"工學院","機械工程學系","33062","ME5209-*","人工智慧與設計思考 [已停開]","Artificial Intelligence and Design Thinking","蔡錫錚
陳翔傑
林智揚
林苑婷
廖昭仰
林錦德
李朱育","3","Sat123/*-***","選修","半","30","33062
ME5209	人工智慧與設計思考
Artificial Intelligence and Design Thinking

優先順序	相關條件限制說明
1	系所:限機械工程學系。年級:限三年級、四年級。
1	系所:限機械工程學系碩士班、機械工程學系光機電工程碩士班、能源工程研究所碩士班、機械工程學系博士班、機械工程學系光機電工程博士班、電機工程學系碩士班。
2	學制:限學士班。學院:限資訊電機學院。年級:限三年級、四年級。"
